"alpha","duration","HIT","Final size"
0.1,20,0.4601,0.7657
0.2,20,0.4677,0.7611
0.4,20,0.4674,0.7504
0.6,20,0.4672,0.745
0.8,20,0.46,0.7576
1,20,0.4677,0.7909
0.1,40,0.4609,0.7635
0.2,40,0.4586,0.7536
0.4,40,0.4684,0.7064
0.6,40,0.4612,0.6488
0.8,40,0.4591,0.7023
1,40,0.4677,0.7909
0.1,60,0.4683,0.7634
0.2,60,0.4588,0.7521
0.4,60,0.4655,0.6764
0.6,60,0.4604,0.5669
0.8,60,0.4591,0.6845
1,60,0.4677,0.7909
0.1,80,0.4647,0.7634
0.2,80,0.4625,0.7518
0.4,80,0.4665,0.6616
0.6,80,0.4604,0.5257
0.8,80,0.4591,0.6815
1,80,0.4677,0.7909
0.1,100,0.4612,0.7634
0.2,100,0.467,0.7518
0.4,100,0.469,0.6556
0.6,100,0.4604,0.5115
0.8,100,0.4591,0.6811
1,100,0.4677,0.7909
